,index,second,vehicleCount
0,0,1,500
1,1,1,500
2,2,1,500
3,3,1,500
4,4,1,500
5,5,1,500
6,6,1,500
7,7,1,500
8,8,1,500
9,9,1,500
10,10,1,500
11,11,1,500
12,12,1,500
13,13,1,500
14,14,1,500
15,15,1,500
16,16,1,500
17,17,1,500
18,18,1,500
19,19,1,500
20,20,1,500
21,21,1,500
22,22,1,500
23,23,1,500
24,24,1,500
25,25,1,500
26,26,1,500
27,27,1,500
28,28,1,500
29,29,1,500
30,30,1,500
31,31,1,500
32,32,1,500
33,33,1,500
34,34,1,500
35,35,1,500
36,36,1,500
37,37,1,500
38,38,1,500
39,39,1,500
40,40,1,500
41,41,1,500
42,42,1,500
43,43,1,500
44,44,1,500
45,45,1,500
46,46,1,500
47,47,1,500
48,48,1,500
49,49,1,500
50,50,1,500
51,51,1,500
52,52,1,500
53,53,1,500
54,54,1,500
55,55,1,500
56,56,1,500
57,57,1,500
58,58,1,500
59,59,1,500
60,60,1,500
61,61,1,500
62,62,1,500
63,63,1,501
64,64,1,501
65,65,1,501
66,66,1,501
67,67,1,501
68,68,1,501
69,69,1,501
70,70,1,501
71,71,1,501
72,72,1,501
73,73,1,501
74,74,1,501
75,75,1,501
76,76,1,501
77,77,1,501
78,78,1,501
79,79,1,501
80,80,1,501
81,81,1,501
82,82,1,501
83,83,1,501
84,84,1,501
85,85,1,501
86,86,1,501
87,87,1,501
88,88,1,501
89,89,1,501
90,90,1,501
91,91,1,501
92,92,1,501
93,93,1,501
94,94,1,501
95,95,1,501
96,96,1,501
97,97,1,501
98,98,1,501
99,99,1,501
100,100,1,500
101,101,1,500
102,102,1,500
103,103,1,500
104,104,1,500
105,105,1,500
106,106,1,500
107,107,1,500
108,108,1,500
109,109,1,500
110,110,1,500
111,111,1,500
112,112,1,500
113,113,1,500
114,114,1,500
115,115,1,500
116,116,1,500
117,117,1,500
118,118,1,500
119,119,1,500
120,120,1,500
121,121,1,500
122,122,1,500
123,123,1,500
124,124,1,500
125,125,1,500
126,126,1,500
127,127,1,500
128,128,1,500
129,129,1,500
130,130,1,500
131,131,1,500
132,132,1,500
133,133,1,500
134,134,1,500
135,135,1,500
136,136,1,500
137,137,1,500
138,138,1,500
139,139,1,500
140,140,1,501
141,141,1,501
142,142,1,501
143,143,1,501
144,144,1,501
145,145,1,501
146,146,1,501
147,147,1,501
148,148,1,501
149,149,1,501
150,150,1,501
151,151,1,500
152,152,1,500
153,153,1,500
154,154,1,500
155,155,1,500
156,156,1,500
157,157,1,500
158,158,1,500
159,159,1,500
160,160,1,501
161,161,1,501
162,162,1,501
163,163,1,501
164,164,1,501
165,165,1,501
166,166,1,501
167,167,1,501
168,168,1,501
169,169,1,501
170,170,1,501
171,171,1,501
172,172,1,501
173,173,1,501
174,174,1,501
175,175,1,501
176,176,1,501
177,177,1,501
178,178,1,501
179,179,1,501
180,180,1,501
181,181,1,501
182,182,1,501
183,183,1,501
184,184,1,501
185,185,1,501
186,186,1,501
187,187,1,501
188,188,1,501
189,189,1,501
190,190,1,501
191,191,1,500
192,192,1,500
193,193,1,500
194,194,1,500
195,195,1,500
196,196,1,500
197,197,1,500
198,198,1,500
199,199,1,500
200,200,1,500
201,201,1,500
202,202,1,500
203,203,1,500
204,204,1,500
205,205,1,500
206,206,1,500
207,207,1,500
208,208,1,500
209,209,1,501
210,210,1,501
211,211,1,501
212,212,1,501
213,213,1,501
214,214,1,501
215,215,1,502
216,216,1,502
217,217,1,502
218,218,1,502
219,219,1,502
220,220,1,502
221,221,1,502
222,222,1,502
223,223,1,502
224,224,1,502
225,225,1,502
226,226,1,502
227,227,1,502
228,228,1,502
229,229,1,503
230,230,1,502
231,231,1,502
232,232,1,503
233,233,1,503
234,234,1,503
235,235,1,503
236,236,1,503
237,237,1,503
238,238,1,503
239,239,1,502
240,240,1,502
241,241,1,502
242,242,1,502
243,243,1,502
244,244,1,502
245,245,1,502
246,246,1,502
247,247,1,502
248,248,1,502
249,249,1,502
250,250,1,502
251,251,1,502
252,252,1,502
253,253,1,503
254,254,1,503
255,255,1,503
256,256,1,503
257,257,1,503
258,258,1,503
259,259,1,503
260,260,1,503
261,261,1,503
262,262,1,503
263,263,1,503
264,264,1,503
265,265,1,503
266,266,1,503
267,267,1,503
268,268,1,503
269,269,1,503
270,270,1,503
271,271,1,503
272,272,1,503
273,273,1,504
274,274,1,504
275,275,1,504
276,276,1,505
277,277,1,505
278,278,1,505
279,279,1,505
280,280,1,505
281,281,1,505
282,282,1,505
283,283,1,505
284,284,1,506
285,285,1,506
286,286,1,506
287,287,1,506
288,288,1,506
289,289,1,506
290,290,1,506
291,291,1,507
292,292,1,507
293,293,1,507
294,294,1,507
295,295,1,508
296,296,1,508
297,297,1,508
298,298,1,509
299,299,1,509
300,300,1,509
301,301,1,509
302,302,1,510
303,303,1,510
304,304,1,511
305,305,1,512
306,306,1,512
307,307,1,513
308,308,1,514
309,309,1,515
310,310,1,516
311,311,1,517
312,312,1,518
313,313,1,518
314,314,1,519
315,315,1,520
316,316,1,520
317,317,1,521
318,318,1,522
319,319,1,523
320,320,1,523
321,321,1,524
322,322,1,524
323,323,1,525
324,324,1,526
325,325,1,526
326,326,1,527
327,327,1,528
328,328,1,528
329,329,1,529
330,330,1,530
331,331,1,531
332,332,1,532
333,333,1,533
334,334,1,534
335,335,1,536
336,336,1,537
337,337,1,538
338,338,1,539
339,339,1,541
340,340,1,542
341,341,1,543
342,342,1,544
343,343,1,546
344,344,1,547
345,345,1,547
346,346,1,548
347,347,1,549
348,348,1,549
349,349,1,549
350,350,1,549
351,351,1,549
352,352,1,549
353,353,1,549
354,354,1,550
355,355,1,552
356,356,1,554
357,357,1,556
358,358,1,558
359,359,1,560
360,360,1,561
361,361,1,564
362,362,1,566
363,363,1,568
364,364,1,569
365,365,1,572
366,366,1,574
367,367,1,577
368,368,1,579
369,369,1,580
370,370,1,582
371,371,1,583
372,372,1,584
373,373,1,586
374,374,1,588
375,375,1,590
376,376,1,592
377,377,1,594
378,378,1,596
379,379,1,598
380,380,1,600
381,381,1,603
382,382,1,605
383,383,1,609
384,384,1,613
