,second,total_load
0,1,559
1,1,538
2,1,502
3,1,470
4,1,448
5,1,440
6,1,442
7,1,450
8,1,444
9,1,456
10,1,491
11,1,519
12,1,532
13,1,545
14,1,544
15,1,519
16,1,510
17,1,521
18,1,582
19,1,617
20,1,638
21,1,650
22,1,639
23,1,590
24,1,596
25,1,550
26,1,512
27,1,497
28,1,488
29,1,487
30,1,492
31,1,508
32,1,523
33,1,569
34,1,615
35,1,640
36,1,640
37,1,648
38,1,643
39,1,616
40,1,601
41,1,598
42,1,639
43,1,703
44,1,731
45,1,740
46,1,713
47,1,653
48,1,563
49,1,520
50,1,490
51,1,470
52,1,467
53,1,471
54,1,479
55,1,488
56,1,502
57,1,543
58,1,583
59,1,594
60,1,588
61,1,590
62,1,582
63,1,559
64,1,546
65,1,540
66,1,551
67,1,615
68,1,653
69,1,657
70,1,638
71,1,591
72,1,556
73,1,521
74,1,499
75,1,490
76,1,484
77,1,490
78,1,530
79,1,590
80,1,623
81,1,657
82,1,673
83,1,677
84,1,675
85,1,669
86,1,632
87,1,622
88,1,619
89,1,614
90,1,607
91,1,604
92,1,629
93,1,667
94,1,620
95,1,579
96,1,552
97,1,516
98,1,485
99,1,468
100,1,459
101,1,449
102,1,448
103,1,441
104,1,459
105,1,496
106,1,526
107,1,539
108,1,531
109,1,523
110,1,515
111,1,507
112,1,499
113,1,491
114,1,483
115,1,487
116,1,504
117,1,564
118,1,559
119,1,525
120,1,523
121,1,493
122,1,476
123,1,468
124,1,465
125,1,477
126,1,517
127,1,570
128,1,626
129,1,653
130,1,679
131,1,690
132,1,702
133,1,705
134,1,686
135,1,672
136,1,673
137,1,677
138,1,670
139,1,663
140,1,662
141,1,676
142,1,659
143,1,604
144,1,671
145,1,627
146,1,595
147,1,578
148,1,569
149,1,573
150,1,594
151,1,630
152,1,682
153,1,731
154,1,752
155,1,764
156,1,780
157,1,785
158,1,782
159,1,791
160,1,792
161,1,795
162,1,785
163,1,773
164,1,757
165,1,741
166,1,718
167,1,670
168,1,590
169,1,554
170,1,527
171,1,508
172,1,498
173,1,494
174,1,498
175,1,497
176,1,530
177,1,571
178,1,609
179,1,626
180,1,635
181,1,645
182,1,639
183,1,621
184,1,613
185,1,609
186,1,606
187,1,606
188,1,607
189,1,621
190,1,621
191,1,582
192,1,605
193,1,567
194,1,546
195,1,533
196,1,526
197,1,530
198,1,572
199,1,622
200,1,659
201,1,702
202,1,732
203,1,750
204,1,769
205,1,780
206,1,759
207,1,742
208,1,742
209,1,740
210,1,728
211,1,713
212,1,712
213,1,746
214,1,691
215,1,634
216,1,549
217,1,518
218,1,498
219,1,490
220,1,486
221,1,495
222,1,537
223,1,614
224,1,645
225,1,659
226,1,670
227,1,678
228,1,691
229,1,686
230,1,670
231,1,656
232,1,655
233,1,658
234,1,652
235,1,659
236,1,709
237,1,701
238,1,631
239,1,577
240,1,496
241,1,465
242,1,442
243,1,429
244,1,423
245,1,425
246,1,429
247,1,431
248,1,446
249,1,488
250,1,520
251,1,534
252,1,535
253,1,545
254,1,540
255,1,516
256,1,508
257,1,508
258,1,557
259,1,584
260,1,597
261,1,595
262,1,570
263,1,528
264,1,596
265,1,557
266,1,532
267,1,521
268,1,520
269,1,531
270,1,590
271,1,693
272,1,748
273,1,766
274,1,771
275,1,760
276,1,754
277,1,750
278,1,723
279,1,712
280,1,714
281,1,736
282,1,788
283,1,804
284,1,806
285,1,787
286,1,724
287,1,653
288,1,617
289,1,567
290,1,540
291,1,527
292,1,526
293,1,539
294,1,595
295,1,702
296,1,776
297,1,797
298,1,804
299,1,797
300,1,783
301,1,772
302,1,745
303,1,731
304,1,726
305,1,737
306,1,789
307,1,824
308,1,825
309,1,808
310,1,746
311,1,676
312,1,617
313,1,568
314,1,540
315,1,527
316,1,527
317,1,539
318,1,595
319,1,699
320,1,772
321,1,789
322,1,800
323,1,791
324,1,781
325,1,773
326,1,745
327,1,732
328,1,732
329,1,743
330,1,793
331,1,824
332,1,826
333,1,808
334,1,745
