trial_id,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.input_chunk_length,config.output_chunk_length,config.hidden_size,config.batch_size,config.dropout
bae7c_00000,0.13869759309963503,1403.511778831482,True,,,1,-0.13869759309963503,748289e0a5524c3e9e3412d4307e43f9,2022-05-23_19-39-05,1653334745,1403.511778831482,3040627,gpu06,130.149.248.55,1403.511778831482,0,1,"0_batch_size=256,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,256,0.05
bae7c_00001,0.1662914014094872,1103.5204572677612,True,,,1,-0.1662914014094872,b55abcd45001449595a2e42ad083bc6a,2022-05-23_19-34-09,1653334449,1103.5204572677612,3040624,gpu06,130.149.248.55,1103.5204572677612,0,1,"1_batch_size=512,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,512,0.05
bae7c_00002,0.0788043071174521,1405.3927404880524,True,,,1,-0.0788043071174521,c70514fa64694902b4b2ae34a66bfb7c,2022-05-23_19-39-11,1653334751,1405.3927404880524,3040625,gpu06,130.149.248.55,1405.3927404880524,0,1,"2_batch_size=256,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,256,0.1
bae7c_00003,0.14116405125668632,1113.6514604091644,True,,,1,-0.14116405125668632,6aad7cc807e2431a848e432e6becca7b,2022-05-23_19-34-19,1653334459,1113.6514604091644,3040626,gpu06,130.149.248.55,1113.6514604091644,0,1,"3_batch_size=512,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,512,0.1
bae7c_00004,0.1495424658707423,1605.7469947338104,True,,,1,-0.1495424658707423,a3a6f06d20eb4db9ae956dcd3df6f338,2022-05-23_20-01-01,1653336061,1605.7469947338104,3040620,gpu06,130.149.248.55,1605.7469947338104,0,1,"4_batch_size=256,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,256,0.2
bae7c_00005,0.15189910665788722,1233.4190466403961,True,,,1,-0.15189910665788722,794d03f244ff4434be7c87678c60137b,2022-05-23_19-54-58,1653335698,1233.4190466403961,3040615,gpu06,130.149.248.55,1233.4190466403961,0,1,"5_batch_size=512,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,512,0.2
bae7c_00006,0.05254907389608093,4577.958981990814,True,,,1,-0.05254907389608093,83ef1ec2b3ef411e8617c78969e4b1b7,2022-05-23_20-55-29,1653339329,4577.958981990814,3040618,gpu06,130.149.248.55,4577.958981990814,0,1,"6_batch_size=256,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,256,0.05
bae7c_00007,0.11613526736697359,4101.830711364746,True,,,1,-0.11613526736697359,383b24a977a6478c9af237111346ede4,2022-05-23_20-47-39,1653338859,4101.830711364746,3040619,gpu06,130.149.248.55,4101.830711364746,0,1,"7_batch_size=512,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,512,0.05
bae7c_00008,0.05905508082788067,4800.92235994339,True,,,1,-0.05905508082788067,64568d51df014be5b74bb046c48978aa,2022-05-23_21-15-05,1653340505,4800.92235994339,3040617,gpu06,130.149.248.55,4800.92235994339,0,1,"8_batch_size=256,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,256,0.1
bae7c_00009,0.13029722003040678,4260.702340126038,True,,,1,-0.13029722003040678,e2164709fdc44f269d0c116767b76548,2022-05-23_21-12-07,1653340327,4260.702340126038,3040616,gpu06,130.149.248.55,4260.702340126038,0,1,"9_batch_size=512,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,512,0.1
