trial_id,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.input_chunk_length,config.output_chunk_length,config.hidden_size,config.batch_size,config.dropout
bcd36_00000,0.0709876472500789,1402.0012691020966,True,,,1,-0.0709876472500789,76548db8c411459cabe9a63f6a3ec3a1,2022-05-21_12-39-09,1653136749,1402.0012691020966,2994433,gpu06,130.149.248.55,1402.0012691020966,0,1,"0_batch_size=256,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,256,0.05
bcd36_00001,0.11239341822026534,1106.3103330135345,True,,,1,-0.11239341822026534,b3ef0c7f194842ed9f2a79085a7de89f,2022-05-21_12-34-17,1653136457,1106.3103330135345,2994431,gpu06,130.149.248.55,1106.3103330135345,0,1,"1_batch_size=512,dropout=0.05,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,512,0.05
bcd36_00002,0.08063537082288527,1413.3546876907349,True,,,1,-0.08063537082288527,d44ee4ce33d3419fa33c46a355ba869e,2022-05-21_12-39-24,1653136764,1413.3546876907349,2994432,gpu06,130.149.248.55,1413.3546876907349,0,1,"2_batch_size=256,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,256,0.1
bcd36_00003,0.15233395630693677,1103.9711718559265,True,,,1,-0.15233395630693677,835845393bc946579fd7a3c2c735bd57,2022-05-21_12-34-15,1653136455,1103.9711718559265,2994436,gpu06,130.149.248.55,1103.9711718559265,0,1,"3_batch_size=512,dropout=0.1,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,512,0.1
bcd36_00004,0.08728491052390512,1600.3744220733643,True,,,1,-0.08728491052390512,c8e6d69fa20d4e848ed6e997cb4982a5,2022-05-21_13-01-00,1653138060,1600.3744220733643,2994430,gpu06,130.149.248.55,1600.3744220733643,0,1,"4_batch_size=256,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,256,0.2
bcd36_00005,0.07349957314927803,1219.9879095554352,True,,,1,-0.07349957314927803,b44ec0c4c59d44b1b98f7e20ece6662d,2022-05-21_12-54-44,1653137684,1219.9879095554352,2994424,gpu06,130.149.248.55,1219.9879095554352,0,1,"5_batch_size=512,dropout=0.2,hidden_size=25,input_chunk_length=300,output_chunk_length=300",300,300,25,512,0.2
bcd36_00006,0.14254785846237417,4660.124030590057,True,,,1,-0.14254785846237417,df4730000e52423fb9a3b79483a26fc4,2022-05-21_13-56-55,1653141415,4660.124030590057,2994427,gpu06,130.149.248.55,4660.124030590057,0,1,"6_batch_size=256,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,256,0.05
bcd36_00007,0.04798680625741264,4089.160154104233,True,,,1,-0.04798680625741264,35387211418c44c397c4815dc9970c68,2022-05-21_13-47-39,1653140859,4089.160154104233,2994423,gpu06,130.149.248.55,4089.160154104233,0,1,"7_batch_size=512,dropout=0.05,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,512,0.05
bcd36_00008,0.03457845788085904,4747.837377309799,True,,,1,-0.03457845788085904,c66e86046b15459abe810fa09809ad87,2022-05-21_14-13-57,1653142437,4747.837377309799,2994420,gpu06,130.149.248.55,4747.837377309799,0,1,"8_batch_size=256,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,256,0.1
bcd36_00009,0.037284848698090046,4249.323872804642,True,,,1,-0.037284848698090046,8d2bbb3dbdcc4a33b845d6feee6f371b,2022-05-21_14-11-56,1653142316,4249.323872804642,2994422,gpu06,130.149.248.55,4249.323872804642,0,1,"9_batch_size=512,dropout=0.1,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,512,0.1
